feature_1,feature_2,feature_3,target
439.6960983562316,19.413507060170218,-346.1439897327133,1
301.38304357514414,-57.31196525852158,-376.26067031984223,-1
430.2941837348118,-354.869262514893,298.67770239444496,-1
284.8053968913,238.2350958714892,-385.8059698808171,1
19.28770819028989,153.28347868052617,-14.750878587844284,1
479.6430352598146,154.17396754572462,319.2465026331557,-1
-246.03854727151807,452.93689209510285,-77.77827054889241,-1
224.89840918175082,243.62480928386276,133.92175227465032,-1
-88.25729964434123,-95.3651911692258,-108.99789335576247,-1
423.7262705847437,-411.64397242965686,440.62986534661127,-1
-86.84733368876749,-384.55672376917096,-469.20082419450415,1
-349.5251948334347,-156.9335773818704,466.00407479082435,-1
375.626612145061,480.0927350633376,-259.8769724076817,-1
202.98943888777785,-150.20402128925923,-109.82033254383958,-1
-337.90493014883594,-389.85697028066625,-438.8199677690626,1
-223.77609761860595,96.66627619471797,-303.01272640990055,1
216.37078463910848,477.6330664280673,252.71918485946185,-1
485.15023731565395,-272.1810612203014,131.55319296252583,1
201.443498407824,-271.22968967773465,-85.94911800804596,-1
-413.8313958602414,-82.46224505129317,-69.02903704008725,-1
-289.0866612807142,-126.23104458518941,76.97206085418009,-1
-16.85869761738678,-229.72770230218708,-102.23745977739549,-1
309.2153626620468,369.32750467132087,481.9928417906109,1
-283.93280834237476,-6.211313032161797,-461.1158481442019,-1
144.14649296037737,96.17999915753535,-66.26334780843712,1
160.29121021737262,-446.3185669358212,454.03132438557736,-1
263.75358991514145,-465.83053432430063,-4.952932693284879,-1
370.4163111806406,-44.5094872331876,409.74091426903385,-1
448.6024802137557,-469.074655611858,-423.20917432223007,1
499.796156970399,61.20047176677872,-90.57941553531856,1
-113.10762644706853,-253.59431014938673,-385.20230846568006,1
-329.17881293071684,-402.3060434977711,-436.2991423289735,-1
423.3031559273504,69.97647506059457,-14.350256171593571,1
339.8972331699654,-208.2808409929695,16.131364463987325,1
-357.71270314104095,190.36861627294115,-242.76598843539153,1
-408.1877592269917,332.41164204485244,479.5666396750464,-1
27.87268900076151,-78.60209949635907,-21.157997936826575,1
107.01289551684295,397.02866203305246,168.1318682976854,1
-309.79968553359913,85.01543796713031,228.39403487181403,-1
331.3857974444729,20.641506618738504,-108.2385082101963,-1
245.27729283510848,-423.6922793488961,142.98039133707528,-1
401.9480748532335,181.17944001992566,-391.4874800755426,1
-114.32941300021002,-170.45077866153713,110.73177041657561,1
-320.69141513118416,28.65662223125844,394.2543913229291,-1
-258.83238752828765,-466.6378467305762,222.15164276006635,1
-120.1514739116821,-107.66346301366258,-468.727807708169,-1
213.38393622297576,460.69189540448554,-260.01211815650674,-1
-184.1556767078696,-36.228877509334666,378.4832539546916,1
-139.70269075712827,-403.9972444360199,-338.0290827041666,1
433.90019492960994,-75.4299102216711,-22.786690450076776,-1
